ReachID,SiteAction,Description,HydroAction,Duration_mo,Project_First,Monitoring,AdMan,OM_Annual
17F2M,FWOP,No action,None,0,0,0,0,0
17F2M,Alternative1,Concrete channel removal with extensive riparian restoration,None,16,3000000,50000,100000,150000
17F2M,Alternative2,Remove concrete with small scale channel restoration,None,12,2000000,50000,100000,100000
17F2M,Alternative3,Chain of wetlands,None,8,1000000,50000,100000,50000
17D2E,FWOP,No action,None,0,0,0,0,0
17D2E,Alternative1,Concrete channel removal with left bank wetland,None,16,3000000,50000,100000,150000
17D2E,Alternative2,Concrete channel removal with bankfull bench,None,12,2000000,50000,100000,100000
17D2E,Alternative3,Stabilization with natural bed and grade control,None,8,1000000,50000,100000,50000
17B,FWOP,No action,None,0,0,0,0,0
17B,Alternative1,Channel and bank stabilization,None,16,3000000,50000,100000,150000
17B,Alternative2,Channel and bank stabilization with beaver removal,None,12,2000000,50000,100000,100000
17B,Alternative3,Bank stabilization,None,8,1000000,50000,100000,50000
2A,FWOP,No action,None,0,0,0,0,0
2A,Alternative1,Channel realignment,None,16,3000000,50000,100000,150000
2A,Alternative2,Channel shaping with bankfull bench,None,12,2000000,50000,100000,100000
2A,Alternative3,Minor instream structures,None,8,1000000,50000,100000,50000
2B,FWOP,No action,None,0,0,0,0,0
2B,Alternative1,Channel realignment,None,16,3000000,50000,100000,150000
2B,Alternative2,Channel shaping with bankfull bench,None,12,2000000,50000,100000,100000
2B,Alternative3,Minor instream structures,None,8,1000000,50000,100000,50000
3E,FWOP,No action,None,0,0,0,0,0
3E,Alternative1,Bridge replacement with extensive action,None,16,3000000,50000,100000,150000
3E,Alternative2,Bridge replacement with minor action,None,12,2000000,50000,100000,100000
3E,Alternative3,Bank stabilization,None,8,1000000,50000,100000,50000
3F,FWOP,No action,None,0,0,0,0,0
3F,Alternative1,Large wood structures for 50% of reach,None,16,3000000,50000,100000,150000
3F,Alternative2,Large wood structures for 25% of reach,None,12,2000000,50000,100000,100000
3F,Alternative3,Beaver reintroduction,None,8,1000000,50000,100000,50000
19A,FWOP,No action,None,0,0,0,0,0
19A,Alternative1,Raise invert for floodplain connectivity,None,16,3000000,50000,100000,150000
19A,Alternative2,Floodplain bench for floodplain connectivity,None,12,2000000,50000,100000,100000
19A,Alternative3,Regrade segment around culvert,None,8,1000000,50000,100000,50000
